concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID49757,radlex,percutaneous transluminal angioplasty,perkutane transluminale Angioplastie,,,,A00.radlex
RID49758,radlex,peripherally inserted central catheter exchange,Wechsel eines peripher eingeführten zentralen Venenkatheters,,,,A00.radlex
RID49759,radlex,peripherally inserted central catheter placement,Legen eines peripher eingeführten zentralen Venenkatheters,,PICC line insertion,,A00.radlex
RID4976,radlex,perfusion disorder,Perfusionsstörung,,,,A00.radlex
RID49760,radlex,device revision,Revision der Materiallage,,,,A00.radlex
RID49761,radlex,Denver shunt revision,Revision eines Denver-Shunts,,,,A00.radlex
RID49762,radlex,percutaneous transhepatic biliary revision,perkutane transhepatische Cholangiographie,,,,A00.radlex
RID49763,radlex,transjugular intrahepatic portosystemic shunt revision,Überprüfung des transjugulären intrahepatischen portosystemischen Shunts,,TIPS revision,,A00.radlex
RID49764,radlex,transjugular intrahepatic portosystemic shunt placement,Anlage des transjugulären intrahepatischen portosystemischen Shunts,,TIPS placement,,A00.radlex
RID49765,radlex,port exchange,Wechsel des Ports,,,,A00.radlex
RID49766,radlex,ureterostomy exchange,Wechsel des Urostomas,,,,A00.radlex
RID49767,radlex,port placement,Implantation des Ports,,,,A00.radlex
RID49768,radlex,Swan-Ganz catheter placement,Legen des Swan-Ganz-Katheters,,,,A00.radlex
RID49769,radlex,port removal,Entfernen des Ports,,,,A00.radlex
RID4977,radlex,hypoperfusion,Hypoperfusion,,,,A00.radlex
RID49770,radlex,port repair,Reparatur des Ports,,,,A00.radlex
RID49771,radlex,stab phlebectomy,Miniphlebektomie,,ambulatory phlebectomy|microphlebectomy|stab avulsion,,A00.radlex
RID49772,radlex,dilation procedure,Dilatationsverfahren,,,,A00.radlex
RID49773,radlex,stricture dilation,Dilatation der Striktur,,,,A00.radlex
RID49774,radlex,transcatheter stent placement,Implantation des Stents durch einen Katheter,,,,A00.radlex
RID49775,radlex,transhepatic tube revision,Überprüfung des transhepatischen Tubus,,,,A00.radlex
RID49776,radlex,vertebral augmentation,Augmentation der Wirbelkörper,,,,A00.radlex
RID49777,radlex,core needle biopsy,Stanzbiopsie,,core biopsy|core biopsy procedure|needle core biopsy,,A00.radlex
RID49779,radlex,imaging without then with pharmacologic agent,Bildgebung ohne und anschließend mit pharmakologischer Substanz,,,,A00.radlex
RID4978,radlex,hyperperfusion,Hyperperfusion,,,,A00.radlex
RID4979,radlex,perfusion defect,Perfusionsdefekt,,,,A00.radlex
RID49790,radlex,device retrieval,Bergung von /Fremd-)Material,,,,A00.radlex
RID49791,radlex,catheter retrieval,Auffinden des Katheters,,,Katheterbergung,A00.radlex
RID4980,radlex,TIMI grade 0: no perfusion,TIMI Grad 0: keine Perfusion,,,,A00.radlex
RID4981,radlex,TIMI grade 1: penetration without perfusion,TIMI Grad 1: Penetration ohne Perfusion,,,,A00.radlex
RID4982,radlex,TIMI grade 2: partial perfusion,TIMI Grad 2: Partielle Perfusion,,,,A00.radlex
RID4983,radlex,TIMI grade 3: complete perfusion,TIMI Grad 3: Komplette Perfusion,,,,A00.radlex
RID49831,radlex,tube replacement,Austausch des Schlauchs,,,,A00.radlex
RID49832,radlex,J-tube placement,Legen der Jejunostomie-Sonde,,,,A00.radlex
RID49836,radlex,deep needle biopsy,Feinnadelbiopsie,,,,A00.radlex
RID49838,radlex,tissue sampling,Entnahme einer Gewebeprobe,,,,A00.radlex
RID4984,radlex,retention,Retention,,,,A00.radlex
RID49840,radlex,fetal non-stress test,Ruhe-CTG während der Schwangerschaft,,fetal heart rate monitoring,,A00.radlex
RID49850,radlex,radiosurgery,Radiochirurgie,,,,A00.radlex
RID49857,radlex,device replacement,Austausch eines Geräts oder eines Materials,,replacement,,A00.radlex
RID49860,radlex,anteversion,Anteversion,,,,A00.radlex
RID49866,radlex,deep biopsy,tiefe Biopsie,,,,A00.radlex
RID49871,radlex,superficial biopsy,oberflächliche Biopsie,,,,A00.radlex
RID49872,radlex,superficial needle biopsy,oberflächliche Nadelbiopsie,,,,A00.radlex
RID4989,radlex,gallstone,Gallenstein,,,,A00.radlex
RID5000,radlex,calcium stone,Kalziumstein,,,,A00.radlex
RID5001,radlex,cystine stone,Zystinstein,,,,A00.radlex
RID5002,radlex,uric acid stone,Uratstein,,,,A00.radlex
RID5003,radlex,xanthine stone,Xanthinstein,,,,A00.radlex
RID5004,radlex,matrix stone,Matrixstein,,,,A00.radlex
RID5005,radlex,oxalate stone,Oxalatstein,,,,A00.radlex
RID5006,radlex,infection stone,Infektstein,,,,A00.radlex
RID5007,radlex,Indinavir stone,Indinavirstein,,,,A00.radlex
RID5008,radlex,bladder calculus,Blasenkalkulus,,bladder stone|calculus of urinary bladder|cystolith|cystolithiasis|vesical calculus,,A00.radlex
RID5012,radlex,microlith,Mikrostein,,,,A00.radlex
RID5013,radlex,cast,Gips,,,,A00.radlex
RID5015,radlex,inspissation,Eindickung,,,,A00.radlex
RID5018,radlex,congenital stenosis,Angeborene Stenose,,coarctation,,A00.radlex
RID5022,radlex,stricture,Striktur,,fibrous stenosis,,A00.radlex
RID5024,radlex,web,Netz,,,,A00.radlex
RID5027,radlex,Schatzki ring,Schatzki-Ring,,,,A00.radlex
RID5029,radlex,central spinal stenosis,Zentrale Spinalkanalstenose,,,,A00.radlex
RID5030,radlex,mild central spinal stenosis,Minimale zentrale Spinalkanalstenose,,,,A00.radlex
RID5031,radlex,moderate central spinal stenosis,Mäßige zentrale Spinalkanalstenose,,,,A00.radlex
RID5032,radlex,severe central spinal stenosis,Ausgeprägte zentrale Spinalkanalstenose,,,,A00.radlex
RID5033,radlex,subarticular spinal stenosis,Subartikuläre Spinalkanalstenose,,,,A00.radlex
RID5034,radlex,foraminal spinal stenosis,Foraminale Spinalkanalstenose,,,Foramenstenose|Neuroforamenstenose,A00.radlex
RID5037,radlex,thrombus,Thrombus,,,,A00.radlex
RID5039,radlex,peptic ulcer,Peptisches Ulkus,,,,A00.radlex
RID5043,radlex,degenerative disorder,Degenerative Erkrankung,,degenerative disease,,A00.radlex
RID5045,radlex,degeneration,Degeneration,,,,A00.radlex
RID5048,radlex,demyelinating disease,demyelinisierende Erkrankung,,demyelination|myelinolysis,,A00.radlex
RID5050,radlex,central pontine myelinolysis,Zentrale pontine Myelinolyse,,CPM,,A00.radlex
RID5052,radlex,extrapontine myelinolysis,Extrapontine Myelinolyse,,EPM,,A00.radlex
RID5054,radlex,denervation,Denervierung,,,,A00.radlex
RID5056,radlex,hypoxic-ischemic encephalopathy,Hypoxisch-ischämische Hirnschädigung,,HIE,Hypoxisch-ischämische Enzephalopathie,A00.radlex
RID5058,radlex,toxic encephalopathy,Toxische Enzephalopathie,,,,A00.radlex
RID5059,radlex,kernicterus,Kernikterus,,BIND Bilirubin encephalopathy|bilirubin-induced encephalopathy|bilirubin-induced neurologic dysfunction|kemicterus,,A00.radlex
RID5064,radlex,hyperammonemic encephalopathy,Hyperammonämische Enzephalopathie,,,,A00.radlex
RID5065,radlex,Wernicke encephalopathy,Wernicke Enzephalopathie,,,,A00.radlex
RID5066,radlex,Wallerian degeneration,Wallersche Degeneration,,,,A00.radlex
RID5067,radlex,fragmentation,Fragmentierung,,,,A00.radlex
RID5069,radlex,diffuse idiopathic skeletal hyperostosis,Diffuse idiopathische Skeletthyperostose,,DISH|Forrestier disease,,A00.radlex
RID5072,radlex,enthesophyte,Enthesophyt,,,,A00.radlex
RID5074,radlex,neuropathic joint,Neuropathisches Gelenk,,Charcot joint,,A00.radlex
RID5078,radlex,periosteal osteophyte,Periostaler Osteophyt,,,,A00.radlex
RID5079,radlex,marginal osteophyte,Marginaler Osteophyt,,,,A00.radlex
RID5080,radlex,osteophytosis,Osteophytose,,,,A00.radlex
RID5081,radlex,central osteophyte,Zentraler Osteophyt,,,,A00.radlex
RID5087,radlex,disc dessication,Bandscheibenflüssigkeitsminderung,,,,A00.radlex
RID5088,radlex,disc height loss,Höhenminderung der Bandscheibe,,,,A00.radlex
RID5089,radlex,disc bulge,Bandscheibenvorwölbung,,bulging disc,Bandscheibenprotrusion,A00.radlex
RID5091,radlex,disc protrusion,Bandscheibenprotrusion,,,,A00.radlex
RID5092,radlex,focal disc protrusion,Fokale Bandscheibenprotrusion,,,,A00.radlex
RID5093,radlex,broad based disc protrusion,Breitbasige Bandscheibenprotrusion,,,,A00.radlex
RID5094,radlex,disc extrusion,Bandscheibenextrusion,,,,A00.radlex
RID5095,radlex,focal disc extrusion,Fokale Bandscheibenextrusion,,,,A00.radlex
RID5096,radlex,broad based disc extrusion,Breitbasige Bandscheibenextrusion,,,,A00.radlex
RID5097,radlex,sequestrated disc fragment,Bandscheibensequester,,disc sequestrate|disc sequestration|disc sequestrum|free disc fragment|sequestered disc fragment,,A00.radlex
RID5104,radlex,migrated disc extrusion,Sequestrierte Bandscheibenextrusion,,,,A00.radlex
RID5105,radlex,intervertebral osteochondrosis,Intervertebrale Osteochondrose,,chronic discopathy|deteriorated disc,,A00.radlex
RID5110,radlex,type 1 Endplate marrow change,Typ 1 Endplattenmarkveränderungen,,Modic 1 endplate marrow change,,A00.radlex
RID5112,radlex,type 2 Endplate marrow change,Typ 2 Endplattenmarkveränderungen,,Modic 2 endplate marrow change,,A00.radlex
RID5114,radlex,type 3 Endplate marrow change,Typ 3 Endplattenmarkveränderungen,,Modic 3 endplate marrow change,,A00.radlex
RID5124,radlex,myxomatous degeneration,Myxomatöse Degeneration,,,,A00.radlex
RID5126,radlex,ataxia telangiectasia,Louis-Bar-Syndrom,,Louis-Barr syndrome,,A00.radlex
RID5128,radlex,amyotrophic lateral sclerosis,Amyotrophe Lateralsklerose,,ALS,,A00.radlex
RID5130,radlex,cerebrotendinous xanthomatosis,Zerebrotendinöse Xanthomatose,,,,A00.radlex
RID5131,radlex,Cockayne Syndrome,Cockayne-Syndrom,,,,A00.radlex
RID5132,radlex,cerebellar olivary degeneration,Olivopontozerebelläre Atrophie,,,,A00.radlex
RID5133,radlex,cortical basal ganglionic degeneration,kortikobasale Degeneration,,CBGD|cortical-basal ganglionic degeneration|corticobasal ganglionic degeneration,,A00.radlex
RID5135,radlex,deep grey nuclei disorder,Erkrankung der tiefen grauen Kerngebiete,,,,A00.radlex
RID5137,radlex,Alzheimer disease,Morbus Alzheimer,,DAT|dementia Alzheimer type,,A00.radlex
RID5140,radlex,frontotemporal dementia,Frontotemporale Demenz,,FTD|Pick disease,,A00.radlex
RID5142,radlex,dementia with Lewy bodies,Lewy-Körperchen-Demenz,,,,A00.radlex
RID5143,radlex,dementia pugilistica,Chronisch traumatische Enzephalopathie,,boxer syndrome|chronic traumatic encephalopathy|pugilistic Parkinson syndrome|punch-drunk syndrome,,A00.radlex
RID5148,radlex,multi-infarct dementia,Multi-Infarkt Demenz,,,,A00.radlex
RID5149,radlex,Dyke-Davidoff-Masson syndrome,Dyke-Davidoff-Masson Syndrom,,cerebral hemiatrophy,,A00.radlex
RID5152,radlex,Friedreich ataxia,Friedreich Ataxie,,,,A00.radlex
RID5155,radlex,hypertrophic olivary degeneration,Hypertrophe Olivendegeneration,,HOD,,A00.radlex
RID5157,radlex,Machado-Joseph disease,Machado-Joseph-Erkrankung,,,,A00.radlex
RID5161,radlex,neurosyphilis,Neurosyphilis,,,,A00.radlex
RID5162,radlex,olivopontocerebellar degeneration,Olivopontozerebelläre Degeneration,,,,A00.radlex
RID5163,radlex,Parkinson disease,Morbus Parkinson,,,,A00.radlex
RID5165,radlex,progressive supranuclear palsy,Progressive supranukleäre Paralyse,,,,A00.radlex
RID5166,radlex,Rett syndrome,Rett-Syndrom,,,,A00.radlex
RID5167,radlex,subacute combined degeneration of spinal cord,Subakute kombinierte Rückenmarksdegeneration,,,,A00.radlex
RID5168,radlex,vacuolar myelopathy of HIV,Vacuoläre Myelopathie bei HIV,,,Vaskuläre Myelopathie bei HIV,A00.radlex
RID5169,radlex,Wernig-Hoffman disease,Werdnig-Hoffmann Krankheit,,,,A00.radlex
RID5170,radlex,phthisis bulbi,Phthisis bulbi,,,,A00.radlex
RID5176,radlex,infarction of spleen causing small nonfunctioning spleen,"geschrumpfte, funktionslose Milz infolge eines Milzinfarktes",,autosplenectomy|infarction of spleen causing small non-functioning spleen,,A00.radlex
RID5181,radlex,dysbaric osteonecrosis,Dysbarische Osteonekrose,,,,A00.radlex
RID5184,radlex,Theimann disease,Morbus Thiemann,,,,A00.radlex
RID5187,radlex,deposition,Ablagerung,,,,A00.radlex
RID5189,radlex,focal amyloid deposition,Fokale Amyloidablagerung,,amyloidoma|localized amyloidosis,,A00.radlex
RID5191,radlex,crystal deposition,Kristallablagerung,,,,A00.radlex
RID5192,radlex,monosodium urate deposition,Mononatriumuratablagerung,,,,A00.radlex
RID5193,radlex,tophus,Tophus,,,,A00.radlex
RID5194,radlex,mineral deposition disorder,Mineralablagerung,,mineralization,,A00.radlex
RID5197,radlex,milk of calcium,Kalkmilchzysten,,,,A00.radlex
RID5199,radlex,milk of calcium bile,Kalkmilchgalle,,limy bile syndrome,,A00.radlex
RID5201,radlex,optic nerve drusen,Drusen des Sehnerven,,,,A00.radlex
RID5203,radlex,iron overload,Eisenüberladung,,hemosiderosis,,A00.radlex
RID5205,radlex,hemochromatosis,Hämochromatose,,,,A00.radlex
RID5206,radlex,transfusional siderosis,Transfusionsbedingte Siderose,,,,A00.radlex
RID5207,radlex,fluorosis,Fluorose,,,,A00.radlex
RID5208,radlex,pigment deposition,Pigmentablagerung,,,,A00.radlex
RID5211,radlex,superficial siderosis,Oberflächliche Siderose,,,,A00.radlex
RID5212,radlex,glycogen deposition,Glykogenspeicherung,,,,A00.radlex
RID5213,radlex,glycogenic acanthosis,Glykogenische Akanthose,,,,A00.radlex
RID5214,radlex,cholesterol deposition,Cholesterolablagerung,,,,A00.radlex
RID5215,radlex,cholesterolosis,Cholesterinose,,,,A00.radlex
RID5216,radlex,fat deposition,Fettablagerung,,,,A00.radlex
