concept_id,source,en,de,tr,aliases_en,aliases_de,tree
RID41786,radlex,diaphysis of clavicle,Diaphyse der Clavicula,,clavicle diaphysis,,A00.radlex
RID41787,radlex,diaphysis of right clavicle,Diaphyse der rechten Clavicula,,right clavicle diaphysis,,A00.radlex
RID41788,radlex,diaphysis of left clavicle,Diaphyse der linken Clavicula,,left clavicle diaphysis,,A00.radlex
RID41789,radlex,diaphysis of humerus,Diaphyse des humerus,,humeral diaphysis,,A00.radlex
RID41790,radlex,diaphysis of right humerus,Diaphyse des rechten Humerus,,right humeral diaphysis,,A00.radlex
RID41791,radlex,diaphysis of left humerus,Diaphyse des linken Humerus,,left humeral diaphysis,,A00.radlex
RID41792,radlex,diaphysis of right radius,Diaphyse des rechten Radius,,right radial diaphysis,,A00.radlex
RID41793,radlex,diaphysis of left radius,Diaphyse des linken Radius,,left radial diaphysis,,A00.radlex
RID41794,radlex,diaphysis of ulna,Diaphyse der Ulna,,ulnar diaphysis,,A00.radlex
RID41795,radlex,diaphysis of right ulna,Diaphyse der rechten Ulna,,right ulnar diaphysis,,A00.radlex
RID41796,radlex,diaphysis of left ulna,Diaphyse der linken Ulna,,left ulnar diaphysis,,A00.radlex
RID41864,radlex,diaphysis of femur,Diaphyse des Femurs,,femoral diaphysis,,A00.radlex
RID41865,radlex,diaphysis of right femur,Diaphyse des rechten Femurs,,right femoral diaphysis,,A00.radlex
RID41866,radlex,diaphysis of left femur,Diaphyse des linken Femurs,,left femoral diaphysis,,A00.radlex
RID41867,radlex,diaphysis of right fibula,Diaphyse der rechten Fibula,,right fibula diaphysis,,A00.radlex
RID41868,radlex,diaphysis of left fibula,Diaphyse der linken Fibula,,left fibula diaphysis,,A00.radlex
RID41869,radlex,diaphysis of right tibia,Diaphyse der rechten Tibia,,right tibial diaphysis,,A00.radlex
RID41870,radlex,diaphysis of left tibia,Diaphyse der linken Tibia,,left tibial diaphysis,,A00.radlex
RID41884,radlex,diaphysis of fifth metatarsal bone,Diaphyse des fünften Metatarsalknochens,,fifth metatarsal bone diaphysis,,A00.radlex
RID419,radlex,phrenicosplenic ligament,Ligamentum phrenicolienale,,lienorenal ligament,ligamentum phrenicosplenicum,A00.radlex
RID4190,radlex,cementifying fibroma,Zementierendes Fibrom,,,,A00.radlex
RID4191,radlex,cementoblastoma,Benignes Zementoblastom,,benign cementoblastoma,,A00.radlex
RID4192,radlex,cementoma,Zementom,,,,A00.radlex
RID41937,radlex,articular cartilage of glenoid cavity of scapula,Gelenkknorpel der Cavitas glenoidalis der Scapula,,,,A00.radlex
RID41938,radlex,articular cartilage of glenoid cavity of right scapula,Gelenkknorpel der Cavitas glenoidalis der rechten Scapula,,,,A00.radlex
RID41939,radlex,articular cartilage of glenoid cavity of left scapula,Gelenkknorpel der Cavitas glenoidalis der linken Scapula,,,,A00.radlex
RID41940,radlex,articular cartilage of right acromion,Gelenkknorpel des rechten Akromions,,,,A00.radlex
RID41941,radlex,articular cartilage of left acromion,Gelenkknorpel des linken Akromions,,,,A00.radlex
RID41942,radlex,articular cartilage of coracoid process,Gelenkknorpel des Processus coracoideus,,,,A00.radlex
RID41943,radlex,articular cartilage of right coracoid process,Gelenkknorpel des rechten Processus coracoideus,,,,A00.radlex
RID41944,radlex,articular cartilage of left coracoid process,Gelenkknorpel des linken Processus coracoideus,,,,A00.radlex
RID41945,radlex,right humerus,rechter Humerus,,,,A00.radlex
RID41946,radlex,left humerus,linker Humerus,,,,A00.radlex
RID41947,radlex,sternal end of right clavicle,Extremitas sternalis der rechten Clavicula,,,,A00.radlex
RID41948,radlex,sternal end of left clavicle,Extremitas sternalis der linken Clavicula,,,,A00.radlex
