concept_id,source,en,de,tr,aliases_en,aliases_de,tree
MESH:D035462|Q15972122,wikidata-mesh,Holarrhena,Holarrhena,Holarrhena,,,B01.875.800.575.912.250.456.500.346
MESH:D000080310|Q15978715,wikidata-mesh,smartglasses,Smartglasses,akıllı gözlük,smart glasses|Personal Imaging System|digital eye glass,,E07.305.906.750|L01.224.230.260.550.750
MESH:D000085924|Q15980591,wikidata-mesh,metalworker,Schlosser,,Metalworker|metal workers|metalworkers|metal worker,Schlosserin|Metallarbeiter|Metallarbeiterin|Metallberufe,M01.526.590
MESH:D053485|Q16023751,wikidata-mesh,porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,,PEDV,,B04.820.578.500.540.150.075.937
MESH:D000072161|Q16030727,wikidata-mesh,orthopedic surgeon,Orthopädischer Chirurg,,orthopod|orthopaedist|orthopaedic specialist|orthopaedic surgeon|orthopedist,Orthopädische Chirurgin,M01.526.485.810.910.875|N02.360.810.910.875
MESH:D044646|Q16034614,wikidata-mesh,Ascophyllum,Ascophyllum,,,,B01.750.600.040
MESH:D046829|Q17330327,wikidata-mesh,Isavirus,Isavirus,,,,B04.820.480.968.450
MESH:C537209|Q17332514,wikidata-mesh,Knobloch syndrome,Knobloch-Syndrom,,Retinal detachment-occipital encephalocele syndrome|Retinal Detachment and Occipital Encephalocele|Myopia retinal detachment encephalocele|Knobloch-Layer syndrome|Knobloch Syndrome type 1|KNOBLOCH SYNDROME 1; KNO1|KNOBLOCH SYNDROME 1|KNO1|Kno,,
MESH:D000072178|Q17345122,wikidata-mesh,urologist,Urologe,ürolog,urologic surgeon|urologists,Urologin,M01.526.485.810.955|N02.360.810.955
MESH:D007007|Q18554019,wikidata-mesh,hypohidrosis,Hypohidrose,,oligohidrosis|hypohidrosis (disorder)|hypohidrosis,,C17.800.946.370
MESH:D013543|Q18554617,wikidata-mesh,sweat gland disease,Schweißdrüsenerkrankung,,disorder of sweat glands|disorder of sweat gland|disease of sweat glands|disease of sweat gland,,C17.800.946
MESH:D010409|Q18554834,wikidata-mesh,penile disease,Peniserkrankung,,disorder of penis|disease of penis|penis disease|Penile Disorder|Penile Disease,,C12.100.500.494|C12.200.294.494
MESH:D011605|Q18554889,wikidata-mesh,drug psychosis,Drogenpsychose,,"Psychoses, Substance-Induced|Drug-induced psychotic disorder|drug-induced psychotic disease with delusion|Drug-induced psychosis",Kokainpsychose,C25.723.809|C25.775.746|F03.700.675.600|F03.900.746
